"avgServedBlocksDl:vector SingleCell_withSecondaryGnb.masterEnb.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - SingleCell-CBR-DL-0-20211017-18:28:54-3173)",,"avgServedBlocksDl:vector SingleCell_withSecondaryGnb.secondaryGnb.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - SingleCell-CBR-DL-0-20211017-18:28:54-3173)",
13.128,0,13.128,0
13.129,0,13.129,0
13.13,0,13.13,0
13.131,1,13.131,0
13.132,0,13.132,3
13.133,1,13.133,2
13.134,4,13.134,2
13.135,2,13.135,1
13.136,2,13.136,1
13.137,3,13.137,0
13.138,0,13.138,0
13.139,2,13.139,1
13.14,4,13.14,0
13.141,1,13.141,0
13.142,0,13.142,1
13.143,0,13.143,0
13.144,0,13.144,0
13.145,0,13.145,0
13.146,0,13.146,0
13.147,0,13.147,0
13.148,0,13.148,0
13.149,0,13.149,0
13.15,0,13.15,0
13.151,2,13.151,0
13.152,0,13.152,3
13.153,1,13.153,2
13.154,4,13.154,2
13.155,2,13.155,1
13.156,2,13.156,1
13.157,3,13.157,0
13.158,0,13.158,0
13.159,2,13.159,1
13.16,4,13.16,0
13.161,1,13.161,0
13.162,0,13.162,0
13.163,0,13.163,0
13.164,0,13.164,0
13.165,0,13.165,0
13.166,0,13.166,0
13.167,0,13.167,0
13.168,0,13.168,0
13.169,0,13.169,0
13.17,0,13.17,0
13.171,1,13.171,0
13.172,0,13.172,3
13.173,1,13.173,2
13.174,4,13.174,2
13.175,2,13.175,1
13.176,2,13.176,1
13.177,3,13.177,0
13.178,0,13.178,0
13.179,2,13.179,1
13.18,4,13.18,0
13.181,1,13.181,0
13.182,0,13.182,0
13.183,0,13.183,0
13.184,0,13.184,0
13.185,0,13.185,0
13.186,0,13.186,0
13.187,0,13.187,0
13.188,0,13.188,0
13.189,0,13.189,0
13.19,0,13.19,0
13.191,1,13.191,0
13.192,0,13.192,3
13.193,1,13.193,2
13.194,4,13.194,2
13.195,3,13.195,1
13.196,2,13.196,1
13.197,3,13.197,0
13.198,0,13.198,0
13.199,3,13.199,2
13.2,5,13.2,1
13.201,2,13.201,0
13.202,0,13.202,0
13.203,0,13.203,0
13.204,0,13.204,0
13.205,0,13.205,1
13.206,1,13.206,0
13.207,0,13.207,0
13.208,0,13.208,0
13.209,0,13.209,0
13.21,0,13.21,0
13.211,1,13.211,0
13.212,0,13.212,3
13.213,1,13.213,2
13.214,4,13.214,2
13.215,3,13.215,1
13.216,2,13.216,1
13.217,3,13.217,0
13.218,0,13.218,0
13.219,2,13.219,1
13.22,6,13.22,1
13.221,1,13.221,0
13.222,0,13.222,0
13.223,0,13.223,0
13.224,0,13.224,0
13.225,0,13.225,0
13.226,1,13.226,1
13.227,0,13.227,0
13.228,0,13.228,0
13.229,0,13.229,0
13.23,0,13.23,0
13.231,1,13.231,0
13.232,1,13.232,3
13.233,1,13.233,2
13.234,4,13.234,2
13.235,3,13.235,1
13.236,2,13.236,1
13.237,3,13.237,0
13.238,0,13.238,0
13.239,2,13.239,2
13.24,4,13.24,0
13.241,1,13.241,1
13.242,0,13.242,0
13.243,0,13.243,0
13.244,0,13.244,0
13.245,0,13.245,0
13.246,0,13.246,0
13.247,0,13.247,0
13.248,0,13.248,0
13.249,0,13.249,0
13.25,0,13.25,0
13.251,1,13.251,0
13.252,0,13.252,3
13.253,1,13.253,2
13.254,4,13.254,2
13.255,3,13.255,1
13.256,2,13.256,1
13.257,3,13.257,0
13.258,0,13.258,0
13.259,2,13.259,1
13.26,6,13.26,1
13.261,1,13.261,0
13.262,0,13.262,0
13.263,0,13.263,0
13.264,0,13.264,0
13.265,0,13.265,0
13.266,1,13.266,1
13.267,0,13.267,0
13.268,0,13.268,0
13.269,0,13.269,0
13.27,0,13.27,0
13.271,1,13.271,0
13.272,1,13.272,4
13.273,1,13.273,2
13.274,4,13.274,2
13.275,3,13.275,1
13.276,2,13.276,1
13.277,2,13.277,0
13.278,2,13.278,0
13.279,3,13.279,2
13.28,3,13.28,0
13.281,2,13.281,1
13.282,2,13.282,0
13.283,1,13.283,0
13.284,0,13.284,0
13.285,0,13.285,0
13.286,0,13.286,0
13.287,0,13.287,0
13.288,0,13.288,0
13.289,0,13.289,0
13.29,0,13.29,0
13.291,1,13.291,0
13.292,0,13.292,3
13.293,1,13.293,2
13.294,4,13.294,2
13.295,3,13.295,1
13.296,2,13.296,1
13.297,3,13.297,0
13.298,0,13.298,0
13.299,1,13.299,1
13.3,6,13.3,1
13.301,1,13.301,0
13.302,0,13.302,0
13.303,0,13.303,0
13.304,0,13.304,0
13.305,0,13.305,0
13.306,1,13.306,0
13.307,0,13.307,0
13.308,0,13.308,0
13.309,0,13.309,0
13.31,0,13.31,0
13.311,1,13.311,0
13.312,0,13.312,3
13.313,1,13.313,2
13.314,3,13.314,2
13.315,5,13.315,1
13.316,2,13.316,1
13.317,3,13.317,0
13.318,0,13.318,0
13.319,1,13.319,2
13.32,4,13.32,0
13.321,1,13.321,0
13.322,0,13.322,0
13.323,0,13.323,0
13.324,0,13.324,0
13.325,0,13.325,0
13.326,0,13.326,0
13.327,0,13.327,0
13.328,0,13.328,0
13.329,0,13.329,0
13.33,0,13.33,0
13.331,1,13.331,0
13.332,0,13.332,3
13.333,1,13.333,2
13.334,3,13.334,2
13.335,5,13.335,1
13.336,2,13.336,1
13.337,3,13.337,0
13.338,0,13.338,0
13.339,1,13.339,2
13.34,4,13.34,0
13.341,1,13.341,0
13.342,0,13.342,0
13.343,0,13.343,0
13.344,0,13.344,0
13.345,0,13.345,0
13.346,0,13.346,0
13.347,0,13.347,0
13.348,0,13.348,0
13.349,0,13.349,0
13.35,0,13.35,0
13.351,1,13.351,0
13.352,0,13.352,3
13.353,1,13.353,2
13.354,3,13.354,2
13.355,4,13.355,1
13.356,4,13.356,1
13.357,3,13.357,0
13.358,0,13.358,0
13.359,2,13.359,2
13.36,4,13.36,0
13.361,1,13.361,0
13.362,0,13.362,0
13.363,0,13.363,0
13.364,0,13.364,0
13.365,0,13.365,1
13.366,0,13.366,0
13.367,0,13.367,0
13.368,0,13.368,0
13.369,0,13.369,0
13.37,0,13.37,0
13.371,1,13.371,0
13.372,0,13.372,3
13.373,1,13.373,2
13.374,3,13.374,2
13.375,5,13.375,1
13.376,2,13.376,1
13.377,3,13.377,0
13.378,0,13.378,0
13.379,1,13.379,2
13.38,4,13.38,0
13.381,1,13.381,0
13.382,0,13.382,0
13.383,0,13.383,0
13.384,0,13.384,0
13.385,0,13.385,1
13.386,0,13.386,0
13.387,0,13.387,0
13.388,0,13.388,0
13.389,0,13.389,0
13.39,0,13.39,0
13.391,1,13.391,0
13.392,0,13.392,3
13.393,1,13.393,2
13.394,3,13.394,2
13.395,5,13.395,1
13.396,2,13.396,1
13.397,3,13.397,0
13.398,0,13.398,0
13.399,1,13.399,2
13.4,4,13.4,0
13.401,1,13.401,0
13.402,0,13.402,0
13.403,0,13.403,0
13.404,0,13.404,0
13.405,0,13.405,0
13.406,0,13.406,0
13.407,0,13.407,0
13.408,0,13.408,0
13.409,0,13.409,0
13.41,0,13.41,0
13.411,1,13.411,0
13.412,0,13.412,3
13.413,1,13.413,2
13.414,3,13.414,2
13.415,4,13.415,1
13.416,3,13.416,1
13.417,3,13.417,0
13.418,0,13.418,0
13.419,1,13.419,2
13.42,4,13.42,0
13.421,1,13.421,0
13.422,0,13.422,0
13.423,0,13.423,0
13.424,0,13.424,0
13.425,0,13.425,0
13.426,0,13.426,0
13.427,0,13.427,0
13.428,0,13.428,0
13.429,0,13.429,0
13.43,0,13.43,0
13.431,1,13.431,0
13.432,0,13.432,3
13.433,1,13.433,2
13.434,3,13.434,2
13.435,4,13.435,1
13.436,3,13.436,1
13.437,3,13.437,0
13.438,0,13.438,0
13.439,1,13.439,2
13.44,4,13.44,0
13.441,1,13.441,0
13.442,0,13.442,0
13.443,0,13.443,0
13.444,0,13.444,0
13.445,0,13.445,0
13.446,0,13.446,0
13.447,0,13.447,0
13.448,0,13.448,0
13.449,0,13.449,0
13.45,0,13.45,0
13.451,1,13.451,0
13.452,0,13.452,3
13.453,1,13.453,2
13.454,3,13.454,2
13.455,4,13.455,1
13.456,3,13.456,1
13.457,3,13.457,0
13.458,0,13.458,0
13.459,1,13.459,2
13.46,4,13.46,0
13.461,1,13.461,0
13.462,0,13.462,0
13.463,0,13.463,0
13.464,0,13.464,0
13.465,0,13.465,0
13.466,0,13.466,0
13.467,0,13.467,0
13.468,0,13.468,0
13.469,0,13.469,0
13.47,0,13.47,0
13.471,1,13.471,0
13.472,0,13.472,3
13.473,1,13.473,2
13.474,3,13.474,2
13.475,4,13.475,1
13.476,3,13.476,1
13.477,3,13.477,0
13.478,0,13.478,0
13.479,2,13.479,2
13.48,4,13.48,0
13.481,1,13.481,0
13.482,0,13.482,0
13.483,0,13.483,0
13.484,0,13.484,0
13.485,0,13.485,1
13.486,0,13.486,0
13.487,0,13.487,0
13.488,0,13.488,0
13.489,0,13.489,0
13.49,0,13.49,0
13.491,1,13.491,0
13.492,0,13.492,3
13.493,1,13.493,2
13.494,3,13.494,2
13.495,4,13.495,1
13.496,3,13.496,1
13.497,3,13.497,0
13.498,0,13.498,0
13.499,1,13.499,2
13.5,4,13.5,0
13.501,1,13.501,0
13.502,0,13.502,0
13.503,0,13.503,0
13.504,0,13.504,0
13.505,0,13.505,0
13.506,0,13.506,0
13.507,0,13.507,0
13.508,0,13.508,0
13.509,0,13.509,0
13.51,0,13.51,0
13.511,1,13.511,0
13.512,0,13.512,3
13.513,1,13.513,2
13.514,3,13.514,2
13.515,5,13.515,1
13.516,2,13.516,1
13.517,3,13.517,0
13.518,0,13.518,0
13.519,2,13.519,2
13.52,4,13.52,0
13.521,1,13.521,0
13.522,0,13.522,0
13.523,0,13.523,0
13.524,0,13.524,0
13.525,0,13.525,1
13.526,0,13.526,0
13.527,0,13.527,0
13.528,0,13.528,0
13.529,0,13.529,0
13.53,0,13.53,0
13.531,1,13.531,0
13.532,0,13.532,3
13.533,1,13.533,2
13.534,3,13.534,2
13.535,5,13.535,1
13.536,2,13.536,1
13.537,3,13.537,0
13.538,0,13.538,0
13.539,1,13.539,2
13.54,4,13.54,0
13.541,1,13.541,0
13.542,0,13.542,0
13.543,0,13.543,0
13.544,0,13.544,0
13.545,0,13.545,0
13.546,0,13.546,0
13.547,0,13.547,0
13.548,0,13.548,0
13.549,0,13.549,0
13.55,0,13.55,0
13.551,1,13.551,0
13.552,0,13.552,3
13.553,1,13.553,2
13.554,3,13.554,2
13.555,5,13.555,1
13.556,2,13.556,1
13.557,3,13.557,0
13.558,0,13.558,0
13.559,1,13.559,2
13.56,4,13.56,0
13.561,1,13.561,0
13.562,0,13.562,0
13.563,0,13.563,0
13.564,0,13.564,0
13.565,0,13.565,0
13.566,0,13.566,0
13.567,0,13.567,0
13.568,0,13.568,0
13.569,0,13.569,0
13.57,0,13.57,0
13.571,1,13.571,0
13.572,0,13.572,3
13.573,1,13.573,2
13.574,3,13.574,2
13.575,5,13.575,1
13.576,2,13.576,1
13.577,3,13.577,0
13.578,0,13.578,0
13.579,1,13.579,2
13.58,4,13.58,0
13.581,1,13.581,0
13.582,0,13.582,0
13.583,0,13.583,0
13.584,0,13.584,0
13.585,0,13.585,0
13.586,0,13.586,0
13.587,0,13.587,0
13.588,0,13.588,0
13.589,0,13.589,0
13.59,0,13.59,0
13.591,1,13.591,0
13.592,0,13.592,3
13.593,1,13.593,2
13.594,3,13.594,2
13.595,5,13.595,1
13.596,2,13.596,1
13.597,3,13.597,0
13.598,0,13.598,0
13.599,1,13.599,2
13.6,4,13.6,0
13.601,1,13.601,0
13.602,0,13.602,0
13.603,0,13.603,0
13.604,0,13.604,0
13.605,0,13.605,0
13.606,0,13.606,0
13.607,0,13.607,0
13.608,0,13.608,0
13.609,0,13.609,0
13.61,0,13.61,0
13.611,1,13.611,0
13.612,0,13.612,3
13.613,1,13.613,2
13.614,3,13.614,2
13.615,5,13.615,1
13.616,2,13.616,1
13.617,3,13.617,0
13.618,0,13.618,0
13.619,2,13.619,2
13.62,4,13.62,0
13.621,1,13.621,0
13.622,0,13.622,0
13.623,0,13.623,0
13.624,0,13.624,0
13.625,0,13.625,1
13.626,0,13.626,0
13.627,0,13.627,0
13.628,0,13.628,0
13.629,0,13.629,0
13.63,0,13.63,0
13.631,1,13.631,0
13.632,0,13.632,3
13.633,1,13.633,2
13.634,3,13.634,2
13.635,5,13.635,1
13.636,2,13.636,1
13.637,3,13.637,0
13.638,0,13.638,0
13.639,1,13.639,2
13.64,4,13.64,0
13.641,1,13.641,0
13.642,0,13.642,0
13.643,0,13.643,0
13.644,0,13.644,0
13.645,0,13.645,0
13.646,0,13.646,0
13.647,0,13.647,0
13.648,0,13.648,0
13.649,0,13.649,0
13.65,0,13.65,0
13.651,1,13.651,0
13.652,0,13.652,3
13.653,1,13.653,2
13.654,3,13.654,2
13.655,5,13.655,1
13.656,2,13.656,1
13.657,3,13.657,0
13.658,0,13.658,0
13.659,1,13.659,2
13.66,4,13.66,0
13.661,1,13.661,0
13.662,0,13.662,0
13.663,0,13.663,0
13.664,0,13.664,0
13.665,0,13.665,0
13.666,0,13.666,0
13.667,0,13.667,0
13.668,0,13.668,0
13.669,0,13.669,0
13.67,0,13.67,0
13.671,1,13.671,0
13.672,0,13.672,3
13.673,1,13.673,2
13.674,4,13.674,2
13.675,2,13.675,1
13.676,2,13.676,1
13.677,3,13.677,0
13.678,0,13.678,0
13.679,1,13.679,2
13.68,4,13.68,0
13.681,1,13.681,0
13.682,0,13.682,0
13.683,0,13.683,0
13.684,0,13.684,0
13.685,0,13.685,0
13.686,0,13.686,0
13.687,0,13.687,0
13.688,0,13.688,0
13.689,0,13.689,0
13.69,0,13.69,0
13.691,1,13.691,0
13.692,0,13.692,3
13.693,1,13.693,2
13.694,3,13.694,2
13.695,5,13.695,1
13.696,2,13.696,1
13.697,3,13.697,0
13.698,0,13.698,0
13.699,2,13.699,2
13.7,4,13.7,0
13.701,1,13.701,0
13.702,0,13.702,0
13.703,0,13.703,0
13.704,0,13.704,0
13.705,0,13.705,0
13.706,0,13.706,0
13.707,0,13.707,0
13.708,0,13.708,0
13.709,0,13.709,0
13.71,0,13.71,0
13.711,1,13.711,0
13.712,0,13.712,3
13.713,1,13.713,2
13.714,3,13.714,2
13.715,5,13.715,1
13.716,2,13.716,1
13.717,3,13.717,0
13.718,0,13.718,0
13.719,1,13.719,2
13.72,4,13.72,0
13.721,1,13.721,0
13.722,0,13.722,0
13.723,0,13.723,0
13.724,0,13.724,0
13.725,0,13.725,0
13.726,0,13.726,0
13.727,0,13.727,0
13.728,0,13.728,0
13.729,0,13.729,0
13.73,0,13.73,0
13.731,1,13.731,0
13.732,0,13.732,3
13.733,1,13.733,2
13.734,3,13.734,2
13.735,5,13.735,1
13.736,2,13.736,1
13.737,3,13.737,0
13.738,0,13.738,0
13.739,1,13.739,2
13.74,4,13.74,0
13.741,1,13.741,0
13.742,0,13.742,0
13.743,0,13.743,0
13.744,0,13.744,0
13.745,0,13.745,0
13.746,0,13.746,0
13.747,0,13.747,0
13.748,0,13.748,0
13.749,0,13.749,0
13.75,0,13.75,0
13.751,1,13.751,0
13.752,0,13.752,3
13.753,1,13.753,2
13.754,3,13.754,2
13.755,5,13.755,1
13.756,2,13.756,1
13.757,3,13.757,0
13.758,0,13.758,0
13.759,1,13.759,2
13.76,4,13.76,0
13.761,1,13.761,0
13.762,0,13.762,0
13.763,0,13.763,0
13.764,0,13.764,0
13.765,0,13.765,0
13.766,0,13.766,0
13.767,0,13.767,0
13.768,0,13.768,0
13.769,0,13.769,0
13.77,0,13.77,0
13.771,1,13.771,0
13.772,0,13.772,3
13.773,1,13.773,2
13.774,3,13.774,2
13.775,5,13.775,1
13.776,2,13.776,1
13.777,3,13.777,0
13.778,0,13.778,0
13.779,1,13.779,2
13.78,4,13.78,0
13.781,1,13.781,0
13.782,0,13.782,0
13.783,0,13.783,0
13.784,0,13.784,0
13.785,0,13.785,1
13.786,0,13.786,0
13.787,0,13.787,0
13.788,0,13.788,0
13.789,0,13.789,0
13.79,0,13.79,0
13.791,1,13.791,0
13.792,0,13.792,3
13.793,1,13.793,2
13.794,3,13.794,2
13.795,5,13.795,1
13.796,2,13.796,1
13.797,3,13.797,0
13.798,0,13.798,0
13.799,1,13.799,2
13.8,4,13.8,0
13.801,1,13.801,0
13.802,0,13.802,0
13.803,0,13.803,0
13.804,0,13.804,0
13.805,0,13.805,0
13.806,0,13.806,0
13.807,0,13.807,0
13.808,0,13.808,0
13.809,0,13.809,0
13.81,0,13.81,0
13.811,1,13.811,0
13.812,0,13.812,3
13.813,1,13.813,2
13.814,3,13.814,2
13.815,5,13.815,1
13.816,2,13.816,1
13.817,3,13.817,0
13.818,0,13.818,0
13.819,1,13.819,1
13.82,4,13.82,0
13.821,1,13.821,0
13.822,0,13.822,0
13.823,0,13.823,0
13.824,0,13.824,0
13.825,0,13.825,0
13.826,0,13.826,0
13.827,0,13.827,0
13.828,0,13.828,0
13.829,0,13.829,0
13.83,0,13.83,0
13.831,1,13.831,0
13.832,0,13.832,3
13.833,1,13.833,2
13.834,3,13.834,2
13.835,5,13.835,1
13.836,2,13.836,1
13.837,3,13.837,0
13.838,0,13.838,0
13.839,1,13.839,1
13.84,4,13.84,0
13.841,1,13.841,0
13.842,0,13.842,0
13.843,0,13.843,0
13.844,0,13.844,0
13.845,0,13.845,0
13.846,0,13.846,0
13.847,0,13.847,0
13.848,0,13.848,0
13.849,0,13.849,0
13.85,0,13.85,0
13.851,1,13.851,0
13.852,0,13.852,3
13.853,1,13.853,2
13.854,3,13.854,2
13.855,5,13.855,1
13.856,2,13.856,1
13.857,3,13.857,0
13.858,0,13.858,0
13.859,1,13.859,1
13.86,4,13.86,0
13.861,1,13.861,0
13.862,0,13.862,0
13.863,0,13.863,0
13.864,0,13.864,0
13.865,0,13.865,0
13.866,0,13.866,0
13.867,0,13.867,0
13.868,0,13.868,0
13.869,0,13.869,0
13.87,0,13.87,0
13.871,1,13.871,0
13.872,0,13.872,3
13.873,1,13.873,2
13.874,3,13.874,2
13.875,5,13.875,1
13.876,2,13.876,1
13.877,3,13.877,0
13.878,0,13.878,0
13.879,1,13.879,1
13.88,4,13.88,0
13.881,1,13.881,0
13.882,0,13.882,0
13.883,0,13.883,0
13.884,0,13.884,0
13.885,0,13.885,0
13.886,0,13.886,0
13.887,0,13.887,0
13.888,0,13.888,0
13.889,0,13.889,0
13.89,0,13.89,0
13.891,1,13.891,0
13.892,0,13.892,3
13.893,1,13.893,2
13.894,3,13.894,2
13.895,5,13.895,1
13.896,2,13.896,1
13.897,3,13.897,0
13.898,0,13.898,0
13.899,1,13.899,1
13.9,4,13.9,0
13.901,1,13.901,0
13.902,0,13.902,0
13.903,0,13.903,0
13.904,0,13.904,0
13.905,0,13.905,0
13.906,0,13.906,0
13.907,0,13.907,0
13.908,0,13.908,0
13.909,0,13.909,0
13.91,0,13.91,0
13.911,1,13.911,0
13.912,0,13.912,3
13.913,1,13.913,2
13.914,3,13.914,2
13.915,5,13.915,1
13.916,2,13.916,1
13.917,3,13.917,0
13.918,0,13.918,0
13.919,1,13.919,1
13.92,4,13.92,0
13.921,1,13.921,0
13.922,0,13.922,0
13.923,0,13.923,0
13.924,0,13.924,0
13.925,0,13.925,0
13.926,0,13.926,0
13.927,0,13.927,0
13.928,0,13.928,0
13.929,0,13.929,0
13.93,0,13.93,0
13.931,1,13.931,0
13.932,0,13.932,3
13.933,1,13.933,2
13.934,3,13.934,2
13.935,5,13.935,1
13.936,2,13.936,1
13.937,3,13.937,0
13.938,0,13.938,0
13.939,1,13.939,1
13.94,4,13.94,0
13.941,1,13.941,0
13.942,0,13.942,0
13.943,0,13.943,0
13.944,0,13.944,0
13.945,0,13.945,0
13.946,0,13.946,0
13.947,0,13.947,0
13.948,0,13.948,0
13.949,0,13.949,0
13.95,0,13.95,0
13.951,1,13.951,0
13.952,0,13.952,3
13.953,1,13.953,2
13.954,3,13.954,2
13.955,5,13.955,1
13.956,2,13.956,1
13.957,3,13.957,0
13.958,0,13.958,0
13.959,1,13.959,1
13.96,4,13.96,0
13.961,1,13.961,0
13.962,0,13.962,0
13.963,0,13.963,0
13.964,0,13.964,0
13.965,0,13.965,0
13.966,0,13.966,0
13.967,0,13.967,0
13.968,0,13.968,0
13.969,0,13.969,0
13.97,0,13.97,0
13.971,1,13.971,0
13.972,0,13.972,3
13.973,1,13.973,2
13.974,3,13.974,2
13.975,5,13.975,1
13.976,2,13.976,1
13.977,3,13.977,0
13.978,0,13.978,0
13.979,1,13.979,1
13.98,4,13.98,0
13.981,1,13.981,0
13.982,0,13.982,0
13.983,0,13.983,0
13.984,0,13.984,0
13.985,0,13.985,0
13.986,0,13.986,0
13.987,0,13.987,0
13.988,0,13.988,0
13.989,0,13.989,0
13.99,0,13.99,0
13.991,1,13.991,0
13.992,0,13.992,3
13.993,1,13.993,2
13.994,3,13.994,2
13.995,5,13.995,1
13.996,2,13.996,1
13.997,3,13.997,0
13.998,0,13.998,0
13.999,1,13.999,1
14,4,14,0
14.001,1,14.001,0
14.002,0,14.002,0
14.003,0,14.003,0
14.004,0,14.004,0
14.005,0,14.005,0
14.006,0,14.006,0
14.007,0,14.007,0
14.008,0,14.008,0
14.009,0,14.009,0
14.01,0,14.01,0
14.011,1,14.011,0
14.012,0,14.012,3
14.013,1,14.013,2
14.014,3,14.014,2
14.015,4,14.015,1
14.016,2,14.016,1
14.017,3,14.017,0
14.018,0,14.018,0
14.019,2,14.019,2
14.02,4,14.02,0
14.021,1,14.021,0
14.022,0,14.022,0
14.023,0,14.023,0
14.024,0,14.024,0
14.025,0,14.025,1
14.026,0,14.026,0
14.027,0,14.027,0
14.028,0,14.028,0
14.029,0,14.029,0
14.03,0,14.03,0
14.031,1,14.031,0
14.032,0,14.032,3
14.033,1,14.033,2
14.034,3,14.034,2
14.035,4,14.035,1
14.036,2,14.036,1
14.037,3,14.037,0
14.038,0,14.038,0
14.039,1,14.039,2
14.04,4,14.04,0
14.041,1,14.041,0
14.042,0,14.042,0
14.043,0,14.043,0
14.044,0,14.044,0
14.045,0,14.045,0
14.046,0,14.046,0
14.047,0,14.047,0
14.048,0,14.048,0
14.049,0,14.049,0
14.05,0,14.05,0
14.051,1,14.051,0
14.052,0,14.052,3
14.053,1,14.053,2
14.054,3,14.054,2
14.055,3,14.055,1
14.056,3,14.056,1
14.057,3,14.057,0
14.058,0,14.058,0
14.059,1,14.059,1
14.06,4,14.06,0
14.061,1,14.061,0
14.062,0,14.062,0
14.063,0,14.063,0
14.064,0,14.064,0
14.065,0,14.065,1
14.066,0,14.066,0
14.067,0,14.067,0
14.068,0,14.068,0
14.069,0,14.069,0
14.07,0,14.07,0
14.071,1,14.071,0
14.072,0,14.072,3
14.073,1,14.073,2
14.074,3,14.074,2
14.075,4,14.075,1
14.076,2,14.076,1
14.077,3,14.077,0
14.078,0,14.078,0
14.079,1,14.079,2
14.08,4,14.08,0
14.081,1,14.081,0
14.082,0,14.082,0
14.083,0,14.083,0
14.084,0,14.084,0
14.085,0,14.085,1
14.086,0,14.086,0
14.087,0,14.087,0
14.088,0,14.088,0
14.089,0,14.089,0
14.09,0,14.09,0
14.091,1,14.091,0
14.092,0,14.092,3
14.093,1,14.093,2
14.094,3,14.094,2
14.095,4,14.095,1
14.096,2,14.096,1
14.097,3,14.097,0
14.098,0,14.098,0
14.099,1,14.099,2
14.1,4,14.1,0
14.101,1,14.101,0
14.102,0,14.102,0
14.103,0,14.103,0
14.104,0,14.104,0
14.105,0,14.105,0
14.106,0,14.106,0
14.107,0,14.107,0
14.108,0,14.108,0
14.109,0,14.109,0
14.11,0,14.11,0
14.111,1,14.111,0
14.112,0,14.112,3
14.113,1,14.113,2
14.114,3,14.114,2
14.115,4,14.115,1
14.116,2,14.116,1
14.117,3,14.117,0
14.118,0,14.118,0
14.119,1,14.119,2
14.12,4,14.12,0
14.121,1,14.121,0
14.122,0,14.122,0
14.123,0,14.123,0
14.124,0,14.124,0
14.125,0,14.125,0
14.126,0,14.126,0
14.127,0,14.127,0
14.128,0,14.128,0
14.129,0,14.129,0
14.13,0,14.13,0
14.131,1,14.131,0
14.132,0,14.132,3
14.133,1,14.133,2
14.134,3,14.134,2
14.135,4,14.135,1
14.136,2,14.136,1
14.137,3,14.137,0
14.138,0,14.138,0
14.139,1,14.139,2
14.14,4,14.14,0
14.141,1,14.141,0
14.142,0,14.142,0
14.143,0,14.143,0
14.144,0,14.144,0
14.145,0,14.145,0
14.146,0,14.146,0
14.147,0,14.147,0
14.148,0,14.148,0
14.149,0,14.149,0
14.15,0,14.15,0
14.151,1,14.151,0
14.152,0,14.152,3
14.153,1,14.153,2
14.154,3,14.154,2
14.155,4,14.155,1
14.156,2,14.156,1
14.157,3,14.157,0
14.158,0,14.158,0
14.159,1,14.159,2
14.16,4,14.16,0
14.161,1,14.161,0
14.162,0,14.162,0
14.163,0,14.163,0
14.164,0,14.164,0
14.165,0,14.165,0
14.166,0,14.166,0
14.167,0,14.167,0
14.168,0,14.168,0
14.169,0,14.169,0
14.17,0,14.17,0
14.171,1,14.171,0
14.172,0,14.172,3
14.173,1,14.173,2
14.174,3,14.174,2
14.175,4,14.175,1
14.176,2,14.176,1
14.177,3,14.177,0
14.178,0,14.178,0
14.179,1,14.179,2
14.18,4,14.18,0
14.181,1,14.181,0
14.182,0,14.182,0
14.183,0,14.183,0
14.184,0,14.184,0
14.185,0,14.185,1
14.186,0,14.186,0
14.187,0,14.187,0
14.188,0,14.188,0
14.189,0,14.189,0
14.19,0,14.19,0
14.191,1,14.191,0
14.192,0,14.192,3
14.193,1,14.193,2
14.194,3,14.194,2
14.195,4,14.195,1
14.196,2,14.196,1
14.197,3,14.197,0
14.198,0,14.198,0
14.199,1,14.199,3
14.2,4,14.2,0
14.201,1,14.201,0
14.202,0,14.202,0
14.203,0,14.203,0
14.204,0,14.204,0
14.205,0,14.205,1
14.206,0,14.206,0
14.207,0,14.207,0
14.208,0,14.208,0
14.209,0,14.209,0
14.21,0,14.21,0
14.211,1,14.211,0
14.212,0,14.212,3
14.213,1,14.213,2
14.214,3,14.214,2
14.215,4,14.215,1
14.216,2,14.216,1
14.217,3,14.217,0
14.218,0,14.218,0
14.219,1,14.219,2
14.22,4,14.22,0
14.221,1,14.221,0
14.222,0,14.222,0
14.223,0,14.223,0
14.224,0,14.224,0
14.225,0,14.225,0
14.226,0,14.226,0
14.227,0,14.227,0
14.228,0,14.228,0
14.229,0,14.229,0
14.23,0,14.23,0
14.231,1,14.231,0
14.232,0,14.232,3
14.233,1,14.233,2
14.234,3,14.234,2
14.235,4,14.235,1
14.236,2,14.236,1
14.237,3,14.237,0
14.238,0,14.238,0
14.239,2,14.239,2
14.24,4,14.24,0
14.241,1,14.241,0
14.242,0,14.242,0
14.243,0,14.243,0
14.244,0,14.244,0
14.245,0,14.245,0
14.246,0,14.246,0
14.247,0,14.247,0
14.248,0,14.248,0
14.249,0,14.249,0
14.25,0,14.25,0
14.251,1,14.251,0
14.252,0,14.252,3
14.253,1,14.253,2
14.254,3,14.254,2
14.255,4,14.255,1
14.256,2,14.256,1
14.257,3,14.257,0
14.258,0,14.258,0
14.259,1,14.259,2
14.26,4,14.26,0
14.261,1,14.261,0
14.262,0,14.262,0
14.263,0,14.263,0
14.264,0,14.264,0
14.265,0,14.265,0
14.266,0,14.266,0
14.267,0,14.267,0
14.268,0,14.268,0
