Simulation time (in s),avgServedBlocksUl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by enb in uplink with total reosurce blocks=50.,Simulation time (in s),avgServedBlocksUl-SingleCell_withSecondaryGnb-secondaryGnb #comment:- Number of resource block (values in blocks) by gnb in uplink with total reosurce blocks=50.
19.224,0,19.224,0
19.225,1,19.225,0
19.226,2,19.226,2
19.227,0,19.227,1
19.228,2,19.228,2
19.229,1,19.229,2
19.23,1,19.23,0
19.231,2,19.231,0
19.232,0,19.232,2
19.233,0,19.233,0
19.234,0,19.234,3
19.235,1,19.235,1
19.236,0,19.236,0
19.237,0,19.237,0
19.238,0,19.238,0
19.239,0,19.239,0
19.24,0,19.24,0
19.241,0,19.241,0
19.242,0,19.242,1
19.243,1,19.243,1
19.244,0,19.244,0
19.245,1,19.245,0
19.246,2,19.246,2
19.247,0,19.247,1
19.248,2,19.248,1
19.249,1,19.249,2
19.25,1,19.25,0
19.251,2,19.251,0
19.252,0,19.252,1
19.253,1,19.253,0
19.254,1,19.254,2
19.255,0,19.255,1
19.256,0,19.256,0
19.257,0,19.257,0
19.258,0,19.258,0
19.259,1,19.259,0
19.26,0,19.26,0
19.261,0,19.261,0
19.262,0,19.262,1
19.263,1,19.263,1
19.264,0,19.264,0
19.265,1,19.265,0
19.266,2,19.266,2
19.267,1,19.267,1
19.268,3,19.268,1
19.269,1,19.269,2
19.27,1,19.27,0
19.271,2,19.271,0
19.272,0,19.272,3
19.273,2,19.273,0
19.274,1,19.274,2
19.275,0,19.275,1
19.276,0,19.276,0
19.277,0,19.277,0
19.278,0,19.278,0
19.279,1,19.279,0
19.28,0,19.28,1
19.281,0,19.281,0
19.282,0,19.282,1
19.283,1,19.283,1
19.284,0,19.284,0
19.285,1,19.285,0
19.286,2,19.286,2
19.287,0,19.287,1
19.288,3,19.288,1
19.289,1,19.289,1
19.29,1,19.29,0
19.291,2,19.291,0
19.292,0,19.292,2
19.293,0,19.293,0
19.294,0,19.294,2
19.295,0,19.295,0
19.296,1,19.296,0
19.297,0,19.297,0
19.298,0,19.298,0
19.299,0,19.299,0
19.3,0,19.3,0
19.301,0,19.301,0
19.302,0,19.302,1
19.303,1,19.303,1
19.304,0,19.304,0
19.305,1,19.305,0
19.306,2,19.306,2
19.307,0,19.307,1
19.308,2,19.308,1
19.309,1,19.309,2
19.31,1,19.31,0
19.311,3,19.311,0
19.312,1,19.312,3
19.313,0,19.313,0
19.314,1,19.314,2
19.315,0,19.315,1
19.316,0,19.316,0
19.317,0,19.317,0
19.318,0,19.318,0
19.319,1,19.319,0
19.32,0,19.32,1
19.321,0,19.321,0
19.322,0,19.322,1
19.323,1,19.323,1
19.324,0,19.324,0
19.325,2,19.325,0
19.326,2,19.326,2
19.327,0,19.327,1
19.328,2,19.328,1
19.329,0,19.329,2
19.33,2,19.33,0
19.331,2,19.331,0
19.332,0,19.332,2
19.333,0,19.333,0
19.334,0,19.334,2
19.335,0,19.335,0
19.336,1,19.336,0
19.337,0,19.337,0
19.338,0,19.338,0
19.339,0,19.339,0
19.34,0,19.34,0
19.341,0,19.341,0
19.342,0,19.342,1
19.343,1,19.343,1
19.344,0,19.344,0
19.345,1,19.345,0
19.346,2,19.346,2
19.347,0,19.347,1
19.348,2,19.348,1
19.349,1,19.349,2
19.35,1,19.35,0
19.351,2,19.351,0
19.352,0,19.352,2
19.353,0,19.353,0
19.354,0,19.354,2
19.355,0,19.355,1
19.356,0,19.356,0
19.357,1,19.357,0
19.358,0,19.358,0
19.359,0,19.359,0
19.36,0,19.36,0
19.361,0,19.361,0
19.362,0,19.362,1
19.363,14,19.363,1
19.364,0,19.364,0
19.365,1,19.365,0
19.366,2,19.366,2
19.367,0,19.367,1
19.368,3,19.368,1
19.369,10,19.369,2
19.37,0,19.37,0
19.371,1,19.371,0
19.372,0,19.372,3
19.373,0,19.373,0
19.374,1,19.374,2
19.375,0,19.375,1
19.376,0,19.376,0
19.377,0,19.377,0
19.378,0,19.378,0
19.379,1,19.379,0
19.38,6,19.38,1
19.381,0,19.381,0
19.382,0,19.382,1
19.383,1,19.383,1
19.384,0,19.384,0
19.385,1,19.385,0
19.386,2,19.386,2
19.387,0,19.387,1
19.388,3,19.388,1
19.389,1,19.389,1
19.39,0,19.39,0
19.391,2,19.391,0
19.392,0,19.392,2
19.393,0,19.393,0
19.394,1,19.394,3
19.395,1,19.395,0
19.396,0,19.396,0
19.397,0,19.397,0
19.398,0,19.398,0
19.399,0,19.399,0
19.4,0,19.4,2
19.401,2,19.401,0
19.402,0,19.402,1
19.403,1,19.403,1
19.404,0,19.404,0
19.405,1,19.405,0
19.406,2,19.406,2
19.407,0,19.407,1
19.408,2,19.408,1
19.409,1,19.409,2
19.41,1,19.41,0
19.411,3,19.411,0
19.412,0,19.412,1
19.413,0,19.413,0
19.414,1,19.414,2
19.415,0,19.415,0
19.416,1,19.416,0
19.417,0,19.417,0
19.418,0,19.418,0
19.419,0,19.419,0
19.42,0,19.42,1
19.421,0,19.421,0
19.422,0,19.422,1
19.423,1,19.423,1
19.424,0,19.424,0
19.425,2,19.425,0
19.426,2,19.426,2
19.427,0,19.427,1
19.428,2,19.428,1
19.429,1,19.429,1
19.43,2,19.43,0
19.431,2,19.431,0
19.432,0,19.432,2
19.433,0,19.433,0
19.434,0,19.434,2
19.435,1,19.435,0
19.436,12,19.436,0
19.437,0,19.437,0
19.438,0,19.438,0
19.439,0,19.439,0
19.44,0,19.44,0
19.441,0,19.441,0
19.442,13,19.442,1
19.443,1,19.443,1
19.444,0,19.444,0
19.445,1,19.445,0
19.446,2,19.446,2
19.447,0,19.447,1
19.448,2,19.448,2
19.449,1,19.449,2
19.45,2,19.45,0
19.451,1,19.451,0
19.452,0,19.452,3
19.453,0,19.453,0
19.454,0,19.454,2
19.455,1,19.455,1
19.456,1,19.456,0
19.457,0,19.457,0
19.458,0,19.458,0
19.459,0,19.459,0
19.46,0,19.46,0
19.461,0,19.461,0
19.462,0,19.462,1
19.463,1,19.463,1
19.464,0,19.464,0
19.465,1,19.465,0
19.466,2,19.466,2
19.467,0,19.467,1
19.468,2,19.468,1
19.469,1,19.469,2
19.47,1,19.47,0
19.471,2,19.471,0
19.472,0,19.472,2
19.473,1,19.473,0
19.474,0,19.474,2
19.475,0,19.475,1
19.476,0,19.476,0
19.477,0,19.477,0
19.478,0,19.478,0
19.479,0,19.479,0
19.48,0,19.48,0
19.481,0,19.481,0
19.482,0,19.482,1
19.483,1,19.483,1
19.484,0,19.484,0
19.485,1,19.485,0
19.486,2,19.486,2
19.487,0,19.487,1
19.488,2,19.488,1
19.489,1,19.489,2
19.49,1,19.49,0
19.491,3,19.491,0
19.492,0,19.492,2
19.493,1,19.493,0
19.494,1,19.494,2
19.495,0,19.495,1
19.496,0,19.496,0
19.497,0,19.497,0
19.498,0,19.498,0
19.499,1,19.499,0
19.5,1,19.5,1
19.501,0,19.501,0
19.502,0,19.502,1
19.503,1,19.503,1
19.504,0,19.504,0
19.505,1,19.505,0
19.506,2,19.506,2
19.507,0,19.507,1
19.508,3,19.508,1
19.509,1,19.509,1
19.51,1,19.51,0
19.511,2,19.511,0
19.512,0,19.512,2
19.513,0,19.513,0
19.514,1,19.514,2
19.515,0,19.515,1
19.516,1,19.516,0
19.517,0,19.517,0
19.518,0,19.518,0
19.519,1,19.519,0
19.52,0,19.52,0
19.521,0,19.521,0
19.522,0,19.522,1
19.523,1,19.523,1
19.524,0,19.524,0
19.525,1,19.525,0
19.526,2,19.526,2
19.527,0,19.527,1
19.528,3,19.528,1
19.529,1,19.529,2
19.53,1,19.53,0
19.531,2,19.531,0
19.532,0,19.532,2
19.533,1,19.533,0
19.534,1,19.534,2
19.535,0,19.535,1
19.536,0,19.536,0
19.537,0,19.537,0
19.538,0,19.538,0
19.539,0,19.539,0
19.54,0,19.54,1
19.541,0,19.541,0
19.542,0,19.542,1
19.543,1,19.543,1
19.544,0,19.544,0
19.545,2,19.545,0
19.546,2,19.546,2
19.547,0,19.547,1
19.548,2,19.548,1
19.549,1,19.549,1
19.55,1,19.55,0
19.551,10,19.551,0
19.552,0,19.552,2
19.553,0,19.553,0
19.554,0,19.554,2
19.555,0,19.555,0
19.556,0,19.556,0
19.557,2,19.557,0
19.558,0,19.558,0
19.559,0,19.559,0
19.56,0,19.56,0
19.561,0,19.561,0
19.562,1,19.562,1
19.563,1,19.563,1
19.564,0,19.564,0
19.565,1,19.565,0
19.566,2,19.566,2
19.567,0,19.567,1
19.568,2,19.568,2
19.569,1,19.569,2
19.57,0,19.57,0
19.571,3,19.571,0
19.572,0,19.572,2
19.573,0,19.573,0
19.574,0,19.574,2
19.575,0,19.575,1
19.576,0,19.576,0
19.577,0,19.577,0
19.578,0,19.578,0
19.579,0,19.579,0
19.58,0,19.58,0
19.581,0,19.581,0
19.582,0,19.582,1
19.583,1,19.583,1
19.584,0,19.584,0
19.585,1,19.585,0
19.586,2,19.586,2
19.587,0,19.587,1
19.588,2,19.588,1
19.589,1,19.589,1
19.59,0,19.59,0
19.591,2,19.591,0
19.592,0,19.592,2
19.593,1,19.593,0
19.594,0,19.594,2
19.595,1,19.595,1
19.596,0,19.596,0
19.597,0,19.597,0
19.598,0,19.598,1
19.599,0,19.599,0
19.6,0,19.6,1
19.601,2,19.601,0
19.602,0,19.602,1
19.603,1,19.603,1
19.604,0,19.604,0
19.605,1,19.605,0
19.606,2,19.606,2
19.607,1,19.607,1
19.608,3,19.608,1
19.609,1,19.609,1
19.61,1,19.61,0
19.611,1,19.611,0
19.612,0,19.612,2
19.613,7,19.613,0
19.614,1,19.614,2
19.615,0,19.615,0
19.616,1,19.616,0
19.617,0,19.617,0
19.618,0,19.618,0
19.619,1,19.619,0
19.62,0,19.62,1
19.621,0,19.621,0
19.622,0,19.622,1
19.623,1,19.623,1
19.624,0,19.624,0
19.625,1,19.625,0
19.626,2,19.626,2
19.627,0,19.627,1
19.628,2,19.628,1
19.629,1,19.629,1
19.63,2,19.63,0
19.631,2,19.631,0
19.632,0,19.632,2
19.633,0,19.633,0
19.634,1,19.634,2
19.635,1,19.635,0
19.636,1,19.636,0
19.637,0,19.637,0
19.638,0,19.638,0
19.639,0,19.639,0
19.64,0,19.64,1
19.641,0,19.641,0
19.642,0,19.642,1
19.643,1,19.643,1
19.644,0,19.644,0
19.645,1,19.645,0
19.646,2,19.646,2
19.647,0,19.647,1
19.648,2,19.648,1
19.649,1,19.649,1
19.65,2,19.65,0
19.651,2,19.651,0
19.652,0,19.652,2
19.653,0,19.653,0
19.654,0,19.654,2
19.655,1,19.655,0
19.656,4,19.656,0
19.657,0,19.657,0
19.658,0,19.658,0
19.659,0,19.659,0
19.66,0,19.66,0
19.661,0,19.661,0
19.662,7,19.662,1
19.663,1,19.663,1
19.664,0,19.664,0
19.665,1,19.665,0
19.666,2,19.666,2
19.667,0,19.667,1
19.668,2,19.668,1
19.669,1,19.669,2
19.67,2,19.67,0
19.671,2,19.671,0
19.672,0,19.672,3
19.673,0,19.673,0
19.674,0,19.674,2
19.675,0,19.675,1
19.676,0,19.676,0
19.677,0,19.677,0
19.678,0,19.678,0
19.679,0,19.679,0
19.68,0,19.68,0
19.681,0,19.681,0
19.682,0,19.682,1
19.683,1,19.683,1
19.684,0,19.684,0
19.685,1,19.685,0
19.686,2,19.686,2
19.687,0,19.687,1
19.688,2,19.688,1
19.689,1,19.689,2
19.69,2,19.69,0
19.691,2,19.691,0
19.692,0,19.692,1
19.693,1,19.693,0
19.694,0,19.694,2
19.695,0,19.695,1
19.696,0,19.696,0
19.697,0,19.697,0
19.698,0,19.698,0
19.699,0,19.699,0
19.7,0,19.7,0
19.701,0,19.701,0
19.702,0,19.702,1
19.703,1,19.703,1
19.704,0,19.704,0
19.705,1,19.705,0
19.706,2,19.706,2
19.707,0,19.707,1
19.708,3,19.708,1
19.709,1,19.709,2
19.71,2,19.71,0
19.711,2,19.711,0
19.712,0,19.712,2
19.713,1,19.713,0
19.714,1,19.714,2
19.715,0,19.715,1
19.716,0,19.716,0
19.717,0,19.717,0
19.718,0,19.718,0
19.719,1,19.719,0
19.72,0,19.72,0
19.721,0,19.721,0
19.722,0,19.722,1
19.723,1,19.723,1
19.724,0,19.724,0
19.725,1,19.725,0
19.726,2,19.726,2
19.727,0,19.727,1
19.728,3,19.728,1
19.729,1,19.729,2
19.73,2,19.73,0
19.731,1,19.731,0
19.732,0,19.732,1
19.733,0,19.733,0
19.734,1,19.734,2
19.735,0,19.735,1
19.736,0,19.736,0
19.737,0,19.737,0
19.738,0,19.738,0
19.739,1,19.739,0
19.74,0,19.74,0
19.741,0,19.741,0
19.742,0,19.742,1
19.743,1,19.743,1
19.744,0,19.744,0
19.745,1,19.745,0
19.746,2,19.746,2
19.747,0,19.747,1
19.748,2,19.748,1
19.749,1,19.749,2
19.75,2,19.75,0
19.751,3,19.751,0
19.752,0,19.752,2
19.753,0,19.753,0
19.754,0,19.754,2
19.755,0,19.755,1
19.756,0,19.756,0
19.757,0,19.757,0
19.758,0,19.758,0
19.759,0,19.759,0
19.76,0,19.76,0
19.761,0,19.761,0
19.762,0,19.762,1
19.763,1,19.763,1
19.764,0,19.764,0
19.765,1,19.765,0
19.766,2,19.766,2
19.767,0,19.767,1
19.768,2,19.768,1
19.769,1,19.769,2
19.77,2,19.77,0
19.771,2,19.771,0
19.772,0,19.772,1
19.773,1,19.773,0
19.774,0,19.774,2
19.775,1,19.775,1
19.776,0,19.776,0
19.777,0,19.777,0
19.778,0,19.778,0
19.779,0,19.779,0
19.78,0,19.78,0
19.781,0,19.781,0
19.782,0,19.782,1
19.783,1,19.783,1
19.784,0,19.784,0
19.785,1,19.785,0
19.786,2,19.786,2
19.787,0,19.787,1
19.788,3,19.788,1
19.789,0,19.789,2
19.79,2,19.79,0
19.791,1,19.791,0
19.792,0,19.792,2
19.793,1,19.793,0
19.794,0,19.794,2
19.795,0,19.795,0
19.796,0,19.796,0
19.797,0,19.797,0
19.798,0,19.798,0
19.799,0,19.799,0
19.8,0,19.8,0
19.801,0,19.801,0
19.802,0,19.802,1
19.803,1,19.803,1
19.804,0,19.804,0
19.805,1,19.805,0
19.806,2,19.806,2
19.807,0,19.807,1
19.808,3,19.808,1
19.809,0,19.809,2
19.81,2,19.81,0
19.811,1,19.811,0
19.812,0,19.812,2
19.813,0,19.813,0
19.814,1,19.814,2
19.815,0,19.815,0
19.816,0,19.816,0
19.817,0,19.817,0
19.818,0,19.818,0
19.819,0,19.819,0
19.82,0,19.82,1
19.821,0,19.821,0
19.822,0,19.822,1
19.823,1,19.823,1
19.824,0,19.824,0
19.825,1,19.825,0
19.826,2,19.826,2
19.827,0,19.827,1
19.828,3,19.828,1
19.829,0,19.829,1
19.83,2,19.83,0
19.831,2,19.831,0
19.832,0,19.832,2
19.833,0,19.833,0
19.834,0,19.834,2
19.835,0,19.835,0
19.836,0,19.836,0
19.837,0,19.837,0
19.838,0,19.838,0
19.839,0,19.839,0
19.84,0,19.84,0
19.841,0,19.841,0
19.842,0,19.842,1
19.843,1,19.843,1
19.844,0,19.844,0
19.845,1,19.845,0
19.846,2,19.846,2
19.847,0,19.847,1
19.848,2,19.848,1
19.849,0,19.849,2
19.85,2,19.85,0
19.851,2,19.851,0
19.852,0,19.852,2
19.853,0,19.853,0
19.854,0,19.854,2
19.855,0,19.855,0
19.856,0,19.856,0
19.857,0,19.857,0
19.858,0,19.858,0
19.859,1,19.859,0
19.86,0,19.86,0
19.861,0,19.861,0
19.862,0,19.862,1
19.863,1,19.863,1
19.864,0,19.864,0
19.865,3,19.865,0
19.866,2,19.866,2
19.867,0,19.867,1
19.868,2,19.868,1
19.869,0,19.869,2
19.87,2,19.87,0
19.871,3,19.871,0
19.872,0,19.872,2
19.873,1,19.873,0
19.874,0,19.874,2
19.875,0,19.875,0
19.876,1,19.876,0
19.877,0,19.877,0
19.878,0,19.878,0
19.879,0,19.879,0
19.88,0,19.88,0
19.881,0,19.881,0
19.882,1,19.882,1
19.883,1,19.883,1
19.884,0,19.884,0
19.885,1,19.885,0
19.886,2,19.886,2
19.887,0,19.887,1
19.888,3,19.888,1
19.889,1,19.889,2
19.89,2,19.89,0
19.891,1,19.891,0
19.892,0,19.892,2
19.893,0,19.893,0
19.894,0,19.894,2
19.895,0,19.895,1
19.896,0,19.896,0
19.897,0,19.897,0
19.898,0,19.898,0
19.899,0,19.899,0
19.9,0,19.9,0
19.901,0,19.901,0
19.902,0,19.902,1
19.903,1,19.903,1
19.904,0,19.904,0
19.905,1,19.905,0
19.906,2,19.906,2
19.907,0,19.907,1
19.908,3,19.908,1
19.909,1,19.909,2
19.91,2,19.91,0
19.911,2,19.911,0
19.912,0,19.912,2
19.913,0,19.913,0
19.914,1,19.914,2
19.915,0,19.915,1
19.916,0,19.916,0
19.917,0,19.917,0
19.918,0,19.918,0
19.919,0,19.919,0
19.92,0,19.92,0
19.921,0,19.921,0
19.922,0,19.922,1
19.923,1,19.923,1
19.924,0,19.924,0
19.925,1,19.925,0
19.926,2,19.926,2
19.927,0,19.927,1
19.928,3,19.928,1
19.929,1,19.929,2
19.93,2,19.93,0
19.931,2,19.931,0
19.932,0,19.932,2
19.933,0,19.933,0
19.934,1,19.934,2
19.935,0,19.935,0
19.936,0,19.936,0
19.937,0,19.937,0
19.938,0,19.938,0
19.939,1,19.939,0
19.94,1,19.94,0
19.941,0,19.941,0
19.942,0,19.942,1
19.943,1,19.943,1
19.944,0,19.944,0
19.945,1,19.945,0
19.946,2,19.946,2
19.947,0,19.947,1
19.948,2,19.948,1
19.949,1,19.949,2
19.95,2,19.95,0
19.951,1,19.951,0
19.952,0,19.952,2
19.953,0,19.953,0
19.954,0,19.954,2
19.955,0,19.955,1
19.956,0,19.956,0
19.957,0,19.957,0
19.958,0,19.958,0
19.959,0,19.959,0
19.96,0,19.96,0
19.961,0,19.961,0
19.962,0,19.962,1
19.963,1,19.963,1
19.964,0,19.964,0
19.965,1,19.965,0
19.966,2,19.966,2
19.967,0,19.967,1
19.968,2,19.968,1
19.969,1,19.969,2
19.97,2,19.97,0
19.971,2,19.971,0
19.972,0,19.972,2
19.973,1,19.973,0
19.974,0,19.974,2
19.975,0,19.975,1
19.976,0,19.976,0
19.977,0,19.977,0
19.978,0,19.978,0
19.979,0,19.979,0
19.98,0,19.98,0
19.981,0,19.981,0
19.982,0,19.982,1
19.983,1,19.983,1
19.984,0,19.984,0
19.985,1,19.985,0
19.986,2,19.986,2
19.987,0,19.987,1
19.988,3,19.988,1
19.989,1,19.989,2
19.99,2,19.99,0
19.991,2,19.991,0
19.992,0,19.992,2
19.993,0,19.993,0
19.994,1,19.994,2
19.995,0,19.995,1
19.996,0,19.996,0
19.997,0,19.997,0
19.998,0,19.998,0
19.999,0,19.999,0
20,0,20,0
20.001,0,20.001,0
20.002,0,20.002,1
20.003,1,20.003,1
20.004,0,20.004,0
20.005,1,20.005,0
20.006,2,20.006,2
20.007,0,20.007,1
20.008,3,20.008,1
20.009,1,20.009,2
20.01,2,20.01,0
20.011,1,20.011,0
20.012,0,20.012,3
20.013,0,20.013,0
20.014,1,20.014,2
20.015,0,20.015,1
20.016,0,20.016,0
20.017,0,20.017,0
20.018,0,20.018,0
20.019,0,20.019,0
20.02,0,20.02,0
20.021,0,20.021,0
20.022,0,20.022,1
20.023,1,20.023,1
20.024,0,20.024,0
20.025,1,20.025,0
20.026,2,20.026,2
20.027,0,20.027,1
20.028,2,20.028,1
20.029,1,20.029,2
20.03,2,20.03,0
20.031,2,20.031,0
20.032,0,20.032,2
20.033,0,20.033,0
20.034,0,20.034,2
20.035,0,20.035,1
20.036,0,20.036,0
20.037,0,20.037,0
20.038,0,20.038,0
20.039,0,20.039,0
20.04,0,20.04,0
20.041,0,20.041,0
20.042,0,20.042,1
20.043,1,20.043,1
20.044,0,20.044,0
20.045,1,20.045,0
20.046,2,20.046,2
20.047,0,20.047,1
20.048,2,20.048,1
20.049,1,20.049,2
20.05,2,20.05,0
20.051,3,20.051,0
20.052,0,20.052,2
20.053,0,20.053,0
20.054,0,20.054,2
20.055,0,20.055,1
20.056,0,20.056,0
20.057,0,20.057,0
20.058,0,20.058,0
20.059,0,20.059,0
20.06,0,20.06,0
20.061,0,20.061,0
20.062,0,20.062,1
20.063,1,20.063,1
20.064,0,20.064,0
20.065,1,20.065,0
20.066,2,20.066,2
20.067,0,20.067,1
20.068,3,20.068,1
20.069,1,20.069,2
20.07,2,20.07,0
20.071,1,20.071,0
20.072,0,20.072,2
20.073,0,20.073,0
20.074,1,20.074,2
20.075,1,20.075,1
20.076,0,20.076,0
20.077,0,20.077,0
20.078,0,20.078,0
20.079,0,20.079,0
20.08,1,20.08,0
20.081,3,20.081,1
20.082,0,20.082,1
20.083,1,20.083,1
20.084,0,20.084,0
20.085,1,20.085,0
20.086,2,20.086,2
20.087,0,20.087,1
20.088,3,20.088,1
20.089,1,20.089,1
20.09,2,20.09,0
20.091,1,20.091,0
20.092,0,20.092,2
20.093,0,20.093,0
20.094,1,20.094,3
20.095,0,20.095,0
20.096,0,20.096,0
20.097,0,20.097,0
20.098,0,20.098,0
20.099,0,20.099,0
20.1,0,20.1,0
20.101,0,20.101,0
20.102,0,20.102,1
20.103,1,20.103,1
20.104,0,20.104,0
20.105,1,20.105,0
20.106,2,20.106,2
20.107,0,20.107,1
20.108,3,20.108,1
20.109,1,20.109,2
20.11,2,20.11,0
20.111,2,20.111,0
20.112,0,20.112,3
20.113,0,20.113,0
20.114,0,20.114,2
20.115,0,20.115,1
20.116,0,20.116,0
20.117,0,20.117,0
20.118,0,20.118,0
20.119,0,20.119,0
20.12,0,20.12,0
20.121,0,20.121,0
20.122,0,20.122,1
20.123,1,20.123,1
20.124,0,20.124,0
20.125,1,20.125,0
20.126,2,20.126,2
20.127,0,20.127,1
20.128,2,20.128,1
20.129,1,20.129,2
20.13,2,20.13,0
20.131,2,20.131,0
20.132,0,20.132,2
20.133,1,20.133,0
20.134,0,20.134,2
20.135,0,20.135,1
20.136,0,20.136,0
20.137,0,20.137,0
20.138,0,20.138,0
20.139,0,20.139,0
20.14,0,20.14,0
20.141,0,20.141,0
20.142,0,20.142,1
20.143,1,20.143,1
20.144,0,20.144,0
20.145,1,20.145,0
20.146,2,20.146,2
20.147,0,20.147,1
20.148,2,20.148,1
20.149,1,20.149,2
20.15,2,20.15,0
20.151,2,20.151,0
20.152,0,20.152,2
20.153,0,20.153,0
20.154,1,20.154,2
20.155,0,20.155,1
20.156,0,20.156,0
20.157,0,20.157,0
20.158,0,20.158,0
20.159,0,20.159,0
20.16,0,20.16,1
20.161,0,20.161,0
20.162,0,20.162,1
20.163,1,20.163,1
20.164,0,20.164,0
20.165,1,20.165,0
20.166,2,20.166,2
20.167,0,20.167,1
20.168,3,20.168,1
20.169,1,20.169,1
20.17,2,20.17,0
20.171,2,20.171,0
20.172,0,20.172,2
20.173,0,20.173,0
20.174,1,20.174,2
20.175,1,20.175,0
20.176,0,20.176,0
20.177,0,20.177,0
20.178,0,20.178,0
20.179,1,20.179,0
20.18,1,20.18,1
20.181,0,20.181,0
20.182,0,20.182,1
20.183,1,20.183,1
20.184,0,20.184,0
20.185,2,20.185,0
20.186,4,20.186,2
20.187,0,20.187,1
20.188,3,20.188,1
20.189,1,20.189,1
20.19,1,20.19,0
20.191,2,20.191,0
20.192,1,20.192,3
20.193,1,20.193,0
20.194,0,20.194,2
20.195,0,20.195,1
20.196,0,20.196,0
20.197,0,20.197,0
20.198,0,20.198,1
20.199,0,20.199,0
20.2,0,20.2,0
20.201,0,20.201,0
20.202,0,20.202,1
20.203,1,20.203,1
20.204,0,20.204,0
20.205,1,20.205,0
20.206,2,20.206,2
20.207,0,20.207,1
20.208,2,20.208,1
20.209,1,20.209,2
20.21,2,20.21,0
20.211,2,20.211,0
20.212,0,20.212,2
20.213,0,20.213,0
20.214,0,20.214,2
20.215,1,20.215,1
20.216,0,20.216,0
20.217,1,20.217,0
20.218,0,20.218,0
20.219,0,20.219,0
20.22,0,20.22,0
20.221,0,20.221,0
20.222,0,20.222,1
20.223,1,20.223,1
20.224,0,20.224,0
20.225,1,20.225,0
20.226,2,20.226,2
20.227,0,20.227,1
20.228,2,20.228,1
20.229,1,20.229,2
20.23,2,20.23,0
20.231,2,20.231,0
20.232,0,20.232,3
20.233,1,20.233,0
20.234,1,20.234,2
20.235,0,20.235,1
20.236,0,20.236,0
20.237,0,20.237,0
20.238,0,20.238,0
20.239,1,20.239,0
20.24,0,20.24,0
20.241,0,20.241,0
20.242,0,20.242,1
20.243,1,20.243,1
20.244,0,20.244,0
20.245,1,20.245,0
20.246,1,20.246,2
20.247,0,20.247,1
20.248,3,20.248,1
20.249,1,20.249,2
20.25,2,20.25,0
20.251,2,20.251,0
20.252,0,20.252,2
20.253,1,20.253,0
20.254,1,20.254,2
20.255,0,20.255,1
20.256,0,20.256,0
20.257,0,20.257,0
20.258,0,20.258,0
20.259,0,20.259,0
20.26,0,20.26,0
20.261,0,20.261,0
20.262,0,20.262,1
20.263,1,20.263,1
20.264,0,20.264,0
20.265,1,20.265,0
20.266,1,20.266,2
20.267,0,20.267,1
20.268,3,20.268,1
20.269,1,20.269,2
20.27,2,20.27,0
20.271,2,20.271,0
20.272,0,20.272,2
20.273,0,20.273,0
20.274,1,20.274,2
20.275,0,20.275,1
20.276,0,20.276,0
20.277,2,20.277,0
20.278,0,20.278,0
20.279,0,20.279,0
20.28,0,20.28,0
20.281,0,20.281,0
20.282,0,20.282,1
20.283,1,20.283,1
20.284,0,20.284,0
20.285,1,20.285,0
20.286,2,20.286,2
20.287,0,20.287,1
20.288,3,20.288,1
20.289,1,20.289,2
20.29,2,20.29,0
20.291,1,20.291,0
20.292,1,20.292,2
20.293,0,20.293,0
20.294,0,20.294,2
20.295,0,20.295,1
20.296,0,20.296,0
20.297,0,20.297,0
20.298,0,20.298,0
20.299,0,20.299,0
20.3,0,20.3,0
20.301,0,20.301,0
20.302,0,20.302,1
20.303,1,20.303,1
20.304,0,20.304,0
20.305,1,20.305,0
20.306,1,20.306,2
20.307,0,20.307,1
20.308,2,20.308,1
20.309,1,20.309,2
20.31,2,20.31,0
20.311,2,20.311,0
20.312,0,20.312,2
20.313,0,20.313,0
20.314,0,20.314,2
20.315,0,20.315,1
20.316,0,20.316,0
20.317,0,20.317,0
20.318,0,20.318,0
20.319,0,20.319,0
20.32,0,20.32,0
20.321,0,20.321,0
20.322,0,20.322,1
20.323,1,20.323,1
20.324,0,20.324,0
20.325,1,20.325,0
20.326,1,20.326,2
20.327,0,20.327,1
20.328,2,20.328,1
20.329,1,20.329,2
20.33,2,20.33,0
20.331,2,20.331,0
20.332,1,20.332,2
20.333,1,20.333,0
20.334,1,20.334,2
20.335,0,20.335,1
20.336,0,20.336,0
20.337,0,20.337,0
20.338,2,20.338,0
20.339,0,20.339,0
20.34,0,20.34,0
20.341,0,20.341,0
20.342,0,20.342,1
20.343,1,20.343,1
20.344,1,20.344,0
20.345,1,20.345,0
20.346,1,20.346,2
20.347,0,20.347,1
20.348,3,20.348,1
20.349,1,20.349,2
20.35,2,20.35,0
20.351,2,20.351,0
20.352,0,20.352,2
20.353,1,20.353,0
20.354,1,20.354,2
20.355,0,20.355,1
20.356,0,20.356,0
20.357,0,20.357,0
20.358,0,20.358,0
20.359,0,20.359,0
20.36,0,20.36,0
20.361,0,20.361,0
20.362,0,20.362,1
20.363,1,20.363,1
20.364,0,20.364,0
20.365,1,20.365,0
20.366,1,20.366,2
20.367,0,20.367,1
20.368,3,20.368,1
20.369,1,20.369,2
20.37,2,20.37,0
20.371,1,20.371,0
20.372,0,20.372,2
20.373,0,20.373,0
20.374,0,20.374,2
20.375,0,20.375,1
20.376,0,20.376,0
