Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-masterEnb1 #comment:- Number of resource block (values in blocks) by Enb1 in downlink with total reource blocks=50.,Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-secondaryGnb1 #comment:- Number of resource block (values in blocks) by Gnb1 in downlink with total reource blocks=50.,Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-masterEnb2  #comment:- Number of resource block (values in blocks) by Enb2 in downlink with total reource blocks=50.,Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-secondaryGnb2   #comment:- Number of resource block (values in blocks) by Gnb2 in downlink with total reource blocks=50.
31.843,0,31.843,0,31.843,0,31.843,0
31.844,0,31.844,0,31.844,0,31.844,0
31.845,0,31.845,0,31.845,0,31.845,0
31.846,0,31.846,0,31.846,0,31.846,0
31.847,0,31.847,0,31.847,0,31.847,0
31.848,0,31.848,0,31.848,0,31.848,0
31.849,0,31.849,0,31.849,0,31.849,0
31.85,0,31.85,0,31.85,0,31.85,0
31.851,1,31.851,0,31.851,0,31.851,0
31.852,0,31.852,1,31.852,0,31.852,2
31.853,1,31.853,2,31.853,0,31.853,0
31.854,1,31.854,2,31.854,1,31.854,0
31.855,1,31.855,0,31.855,1,31.855,0
31.856,0,31.856,0,31.856,1,31.856,1
31.857,1,31.857,0,31.857,0,31.857,0
31.858,0,31.858,1,31.858,0,31.858,1
31.859,2,31.859,2,31.859,0,31.859,0
31.86,3,31.86,1,31.86,0,31.86,0
31.861,0,31.861,0,31.861,0,31.861,0
31.862,0,31.862,0,31.862,0,31.862,0
31.863,0,31.863,0,31.863,0,31.863,0
31.864,0,31.864,1,31.864,0,31.864,1
31.865,0,31.865,2,31.865,0,31.865,0
31.866,1,31.866,0,31.866,0,31.866,0
31.867,0,31.867,0,31.867,0,31.867,0
31.868,0,31.868,0,31.868,0,31.868,0
31.869,0,31.869,0,31.869,0,31.869,0
31.87,0,31.87,1,31.87,0,31.87,0
31.871,1,31.871,0,31.871,0,31.871,0
31.872,0,31.872,1,31.872,0,31.872,2
31.873,1,31.873,2,31.873,0,31.873,0
31.874,1,31.874,2,31.874,1,31.874,0
31.875,1,31.875,0,31.875,1,31.875,0
31.876,0,31.876,0,31.876,1,31.876,1
31.877,1,31.877,0,31.877,0,31.877,0
31.878,0,31.878,1,31.878,0,31.878,0
31.879,2,31.879,2,31.879,0,31.879,0
31.88,3,31.88,1,31.88,1,31.88,0
31.881,0,31.881,0,31.881,0,31.881,0
31.882,0,31.882,0,31.882,0,31.882,0
31.883,0,31.883,0,31.883,0,31.883,0
31.884,0,31.884,0,31.884,0,31.884,0
31.885,1,31.885,1,31.885,0,31.885,0
31.886,0,31.886,1,31.886,0,31.886,0
31.887,0,31.887,0,31.887,0,31.887,0
31.888,0,31.888,0,31.888,0,31.888,0
31.889,0,31.889,0,31.889,0,31.889,0
31.89,0,31.89,0,31.89,0,31.89,0
31.891,1,31.891,0,31.891,0,31.891,0
31.892,0,31.892,1,31.892,0,31.892,2
31.893,1,31.893,2,31.893,0,31.893,0
31.894,1,31.894,2,31.894,1,31.894,0
31.895,1,31.895,0,31.895,1,31.895,0
31.896,0,31.896,0,31.896,1,31.896,1
31.897,1,31.897,0,31.897,0,31.897,0
31.898,0,31.898,1,31.898,0,31.898,1
31.899,2,31.899,2,31.899,0,31.899,0
31.9,3,31.9,1,31.9,0,31.9,0
31.901,0,31.901,0,31.901,0,31.901,0
31.902,0,31.902,0,31.902,0,31.902,0
31.903,0,31.903,0,31.903,0,31.903,0
31.904,0,31.904,1,31.904,0,31.904,0
31.905,1,31.905,2,31.905,0,31.905,0
31.906,0,31.906,1,31.906,0,31.906,0
31.907,0,31.907,0,31.907,0,31.907,0
31.908,0,31.908,0,31.908,0,31.908,0
31.909,0,31.909,0,31.909,0,31.909,0
31.91,0,31.91,0,31.91,0,31.91,0
31.911,1,31.911,1,31.911,0,31.911,0
31.912,0,31.912,1,31.912,0,31.912,2
31.913,1,31.913,2,31.913,0,31.913,0
31.914,1,31.914,2,31.914,1,31.914,0
31.915,1,31.915,0,31.915,1,31.915,0
31.916,0,31.916,0,31.916,1,31.916,1
31.917,2,31.917,0,31.917,0,31.917,0
31.918,0,31.918,1,31.918,0,31.918,0
31.919,2,31.919,2,31.919,0,31.919,0
31.92,2,31.92,1,31.92,0,31.92,0
31.921,0,31.921,0,31.921,0,31.921,0
31.922,0,31.922,0,31.922,0,31.922,0
31.923,0,31.923,0,31.923,0,31.923,0
31.924,0,31.924,0,31.924,0,31.924,0
31.925,0,31.925,1,31.925,0,31.925,0
31.926,0,31.926,0,31.926,0,31.926,0
31.927,0,31.927,0,31.927,0,31.927,0
31.928,0,31.928,0,31.928,0,31.928,0
31.929,0,31.929,0,31.929,0,31.929,0
31.93,0,31.93,0,31.93,0,31.93,0
31.931,1,31.931,0,31.931,0,31.931,0
31.932,0,31.932,1,31.932,0,31.932,2
31.933,1,31.933,2,31.933,0,31.933,0
31.934,1,31.934,2,31.934,1,31.934,0
31.935,1,31.935,0,31.935,1,31.935,0
31.936,0,31.936,0,31.936,1,31.936,1
31.937,1,31.937,0,31.937,0,31.937,0
31.938,0,31.938,1,31.938,0,31.938,0
31.939,2,31.939,2,31.939,0,31.939,0
31.94,2,31.94,1,31.94,1,31.94,0
31.941,0,31.941,0,31.941,0,31.941,0
31.942,0,31.942,0,31.942,0,31.942,0
31.943,0,31.943,0,31.943,0,31.943,0
31.944,0,31.944,0,31.944,0,31.944,0
31.945,0,31.945,1,31.945,0,31.945,0
31.946,0,31.946,0,31.946,0,31.946,0
31.947,0,31.947,0,31.947,0,31.947,0
31.948,0,31.948,0,31.948,0,31.948,0
31.949,0,31.949,0,31.949,0,31.949,0
31.95,0,31.95,0,31.95,0,31.95,0
31.951,1,31.951,0,31.951,0,31.951,0
31.952,0,31.952,1,31.952,0,31.952,2
31.953,1,31.953,2,31.953,0,31.953,0
31.954,1,31.954,2,31.954,1,31.954,0
31.955,1,31.955,0,31.955,1,31.955,0
31.956,0,31.956,0,31.956,1,31.956,1
31.957,1,31.957,0,31.957,0,31.957,0
31.958,0,31.958,1,31.958,0,31.958,1
31.959,2,31.959,2,31.959,0,31.959,0
31.96,3,31.96,1,31.96,0,31.96,0
31.961,0,31.961,0,31.961,0,31.961,0
31.962,0,31.962,0,31.962,0,31.962,0
31.963,0,31.963,0,31.963,0,31.963,0
31.964,0,31.964,1,31.964,0,31.964,0
31.965,0,31.965,2,31.965,0,31.965,0
31.966,0,31.966,1,31.966,0,31.966,0
31.967,0,31.967,0,31.967,0,31.967,0
31.968,0,31.968,0,31.968,0,31.968,0
31.969,0,31.969,0,31.969,0,31.969,0
31.97,0,31.97,0,31.97,0,31.97,0
31.971,1,31.971,0,31.971,0,31.971,0
31.972,0,31.972,1,31.972,0,31.972,2
31.973,1,31.973,2,31.973,0,31.973,0
31.974,1,31.974,2,31.974,1,31.974,0
31.975,1,31.975,0,31.975,1,31.975,0
31.976,0,31.976,0,31.976,1,31.976,1
31.977,1,31.977,0,31.977,0,31.977,0
31.978,0,31.978,1,31.978,0,31.978,0
31.979,2,31.979,2,31.979,0,31.979,0
31.98,3,31.98,1,31.98,0,31.98,0
31.981,0,31.981,0,31.981,0,31.981,0
31.982,0,31.982,0,31.982,0,31.982,0
31.983,0,31.983,0,31.983,0,31.983,0
31.984,0,31.984,0,31.984,0,31.984,0
31.985,0,31.985,2,31.985,0,31.985,0
31.986,0,31.986,0,31.986,0,31.986,0
31.987,0,31.987,0,31.987,0,31.987,0
31.988,0,31.988,0,31.988,0,31.988,0
31.989,0,31.989,0,31.989,0,31.989,0
31.99,0,31.99,0,31.99,0,31.99,0
31.991,1,31.991,0,31.991,0,31.991,0
31.992,0,31.992,1,31.992,0,31.992,2
31.993,1,31.993,2,31.993,0,31.993,0
31.994,1,31.994,2,31.994,1,31.994,0
31.995,1,31.995,0,31.995,1,31.995,0
31.996,0,31.996,0,31.996,1,31.996,1
31.997,1,31.997,0,31.997,0,31.997,0
31.998,0,31.998,1,31.998,0,31.998,0
31.999,2,31.999,2,31.999,0,31.999,0
32,3,32,1,32,0,32,0
32.001,0,32.001,0,32.001,0,32.001,0
32.002,0,32.002,0,32.002,0,32.002,0
32.003,0,32.003,0,32.003,0,32.003,0
32.004,0,32.004,0,32.004,0,32.004,0
32.005,1,32.005,1,32.005,0,32.005,0
32.006,0,32.006,1,32.006,0,32.006,0
32.007,0,32.007,0,32.007,0,32.007,0
32.008,0,32.008,0,32.008,0,32.008,0
32.009,0,32.009,0,32.009,0,32.009,0
32.01,0,32.01,0,32.01,0,32.01,0
32.011,1,32.011,0,32.011,0,32.011,0
32.012,0,32.012,1,32.012,0,32.012,2
32.013,1,32.013,2,32.013,0,32.013,0
32.014,1,32.014,2,32.014,1,32.014,0
32.015,1,32.015,0,32.015,1,32.015,0
32.016,0,32.016,0,32.016,1,32.016,1
32.017,1,32.017,0,32.017,0,32.017,0
32.018,0,32.018,1,32.018,0,32.018,0
32.019,2,32.019,2,32.019,0,32.019,0
32.02,3,32.02,1,32.02,0,32.02,0
32.021,0,32.021,0,32.021,0,32.021,0
32.022,0,32.022,0,32.022,0,32.022,0
32.023,0,32.023,0,32.023,0,32.023,0
32.024,0,32.024,0,32.024,0,32.024,0
32.025,1,32.025,1,32.025,0,32.025,0
32.026,0,32.026,0,32.026,0,32.026,0
32.027,0,32.027,0,32.027,0,32.027,0
32.028,0,32.028,0,32.028,0,32.028,0
32.029,0,32.029,0,32.029,0,32.029,0
32.03,0,32.03,0,32.03,0,32.03,0
32.031,1,32.031,0,32.031,0,32.031,0
32.032,0,32.032,1,32.032,0,32.032,2
32.033,1,32.033,2,32.033,0,32.033,0
32.034,1,32.034,2,32.034,1,32.034,0
32.035,1,32.035,0,32.035,1,32.035,0
32.036,0,32.036,0,32.036,1,32.036,1
32.037,1,32.037,0,32.037,0,32.037,0
32.038,0,32.038,1,32.038,0,32.038,1
32.039,2,32.039,2,32.039,0,32.039,0
32.04,3,32.04,1,32.04,0,32.04,0
32.041,0,32.041,0,32.041,0,32.041,0
32.042,0,32.042,0,32.042,0,32.042,0
32.043,0,32.043,0,32.043,0,32.043,0
32.044,0,32.044,1,32.044,0,32.044,0
32.045,0,32.045,1,32.045,0,32.045,0
32.046,0,32.046,1,32.046,0,32.046,0
32.047,0,32.047,0,32.047,0,32.047,0
32.048,0,32.048,0,32.048,0,32.048,0
32.049,0,32.049,0,32.049,0,32.049,0
32.05,0,32.05,0,32.05,0,32.05,0
32.051,1,32.051,0,32.051,0,32.051,0
32.052,0,32.052,1,32.052,0,32.052,2
32.053,1,32.053,2,32.053,0,32.053,0
32.054,1,32.054,2,32.054,1,32.054,0
32.055,1,32.055,0,32.055,1,32.055,0
32.056,0,32.056,0,32.056,1,32.056,1
32.057,1,32.057,0,32.057,0,32.057,0
32.058,0,32.058,1,32.058,0,32.058,1
32.059,2,32.059,2,32.059,0,32.059,0
32.06,3,32.06,1,32.06,0,32.06,0
32.061,0,32.061,0,32.061,0,32.061,0
32.062,0,32.062,0,32.062,0,32.062,0
32.063,0,32.063,0,32.063,0,32.063,0
32.064,0,32.064,1,32.064,0,32.064,0
32.065,1,32.065,1,32.065,0,32.065,0
32.066,0,32.066,1,32.066,0,32.066,0
32.067,0,32.067,0,32.067,0,32.067,0
32.068,0,32.068,0,32.068,0,32.068,0
32.069,0,32.069,0,32.069,0,32.069,0
32.07,0,32.07,0,32.07,0,32.07,0
32.071,1,32.071,1,32.071,0,32.071,0
32.072,0,32.072,1,32.072,0,32.072,2
32.073,1,32.073,2,32.073,0,32.073,0
32.074,1,32.074,2,32.074,1,32.074,0
32.075,1,32.075,0,32.075,1,32.075,0
32.076,0,32.076,0,32.076,1,32.076,1
32.077,2,32.077,0,32.077,0,32.077,0
32.078,0,32.078,1,32.078,0,32.078,1
32.079,2,32.079,2,32.079,0,32.079,0
32.08,3,32.08,1,32.08,0,32.08,0
32.081,0,32.081,0,32.081,0,32.081,0
32.082,0,32.082,0,32.082,0,32.082,0
32.083,0,32.083,0,32.083,0,32.083,0
32.084,0,32.084,1,32.084,0,32.084,1
32.085,1,32.085,1,32.085,0,32.085,0
32.086,0,32.086,1,32.086,0,32.086,0
32.087,0,32.087,0,32.087,0,32.087,0
32.088,0,32.088,0,32.088,0,32.088,0
32.089,0,32.089,0,32.089,0,32.089,0
32.09,0,32.09,1,32.09,0,32.09,0
32.091,1,32.091,0,32.091,0,32.091,0
32.092,0,32.092,1,32.092,0,32.092,2
32.093,1,32.093,2,32.093,0,32.093,0
32.094,1,32.094,2,32.094,1,32.094,0
32.095,1,32.095,0,32.095,1,32.095,0
32.096,0,32.096,0,32.096,1,32.096,1
32.097,1,32.097,0,32.097,0,32.097,0
32.098,0,32.098,1,32.098,0,32.098,1
32.099,2,32.099,2,32.099,0,32.099,0
32.1,3,32.1,1,32.1,0,32.1,0
32.101,0,32.101,0,32.101,0,32.101,0
32.102,0,32.102,0,32.102,0,32.102,0
32.103,0,32.103,0,32.103,0,32.103,0
32.104,0,32.104,1,32.104,0,32.104,0
32.105,1,32.105,2,32.105,0,32.105,0
32.106,0,32.106,0,32.106,0,32.106,0
32.107,0,32.107,0,32.107,0,32.107,0
32.108,0,32.108,0,32.108,0,32.108,0
32.109,0,32.109,0,32.109,0,32.109,0
32.11,0,32.11,0,32.11,0,32.11,0
32.111,1,32.111,0,32.111,0,32.111,0
32.112,0,32.112,1,32.112,0,32.112,2
32.113,1,32.113,2,32.113,0,32.113,0
32.114,1,32.114,2,32.114,1,32.114,0
32.115,1,32.115,0,32.115,1,32.115,0
32.116,0,32.116,0,32.116,1,32.116,1
32.117,1,32.117,0,32.117,0,32.117,0
32.118,0,32.118,1,32.118,0,32.118,0
32.119,2,32.119,2,32.119,0,32.119,0
32.12,3,32.12,1,32.12,0,32.12,0
32.121,0,32.121,0,32.121,0,32.121,0
32.122,0,32.122,0,32.122,0,32.122,0
32.123,0,32.123,0,32.123,0,32.123,0
32.124,0,32.124,0,32.124,0,32.124,0
32.125,2,32.125,2,32.125,0,32.125,0
32.126,0,32.126,1,32.126,0,32.126,0
32.127,0,32.127,0,32.127,0,32.127,0
32.128,0,32.128,0,32.128,0,32.128,0
32.129,0,32.129,0,32.129,0,32.129,0
32.13,0,32.13,0,32.13,0,32.13,0
32.131,1,32.131,0,32.131,0,32.131,0
32.132,0,32.132,1,32.132,0,32.132,2
32.133,1,32.133,2,32.133,0,32.133,0
32.134,1,32.134,2,32.134,1,32.134,0
32.135,1,32.135,0,32.135,1,32.135,0
32.136,0,32.136,0,32.136,1,32.136,1
32.137,1,32.137,0,32.137,0,32.137,0
32.138,0,32.138,1,32.138,0,32.138,0
32.139,2,32.139,2,32.139,0,32.139,0
32.14,3,32.14,1,32.14,1,32.14,0
32.141,0,32.141,0,32.141,0,32.141,0
32.142,0,32.142,0,32.142,0,32.142,0
32.143,0,32.143,0,32.143,0,32.143,0
32.144,0,32.144,0,32.144,0,32.144,0
32.145,1,32.145,1,32.145,0,32.145,0
32.146,0,32.146,1,32.146,0,32.146,0
32.147,0,32.147,0,32.147,0,32.147,0
32.148,0,32.148,0,32.148,0,32.148,0
32.149,0,32.149,0,32.149,0,32.149,0
32.15,0,32.15,0,32.15,0,32.15,0
32.151,1,32.151,0,32.151,0,32.151,0
32.152,0,32.152,1,32.152,0,32.152,2
32.153,1,32.153,2,32.153,0,32.153,0
32.154,1,32.154,2,32.154,1,32.154,0
32.155,1,32.155,0,32.155,1,32.155,0
32.156,0,32.156,0,32.156,1,32.156,1
32.157,1,32.157,0,32.157,0,32.157,0
32.158,0,32.158,1,32.158,0,32.158,0
32.159,2,32.159,2,32.159,0,32.159,0
32.16,3,32.16,1,32.16,0,32.16,0
32.161,0,32.161,0,32.161,0,32.161,0
32.162,0,32.162,0,32.162,0,32.162,0
32.163,0,32.163,0,32.163,0,32.163,0
32.164,0,32.164,0,32.164,0,32.164,0
32.165,1,32.165,1,32.165,0,32.165,0
32.166,0,32.166,1,32.166,0,32.166,0
32.167,0,32.167,0,32.167,0,32.167,0
32.168,0,32.168,0,32.168,0,32.168,0
32.169,0,32.169,0,32.169,0,32.169,0
32.17,0,32.17,0,32.17,0,32.17,0
32.171,2,32.171,0,32.171,0,32.171,0
32.172,0,32.172,1,32.172,0,32.172,2
32.173,1,32.173,2,32.173,0,32.173,0
32.174,1,32.174,2,32.174,1,32.174,0
32.175,1,32.175,0,32.175,1,32.175,0
32.176,0,32.176,0,32.176,1,32.176,1
32.177,1,32.177,0,32.177,0,32.177,0
32.178,0,32.178,1,32.178,0,32.178,1
32.179,2,32.179,2,32.179,0,32.179,0
32.18,3,32.18,1,32.18,0,32.18,0
32.181,0,32.181,0,32.181,0,32.181,0
32.182,0,32.182,0,32.182,0,32.182,0
32.183,0,32.183,0,32.183,0,32.183,0
32.184,0,32.184,1,32.184,0,32.184,0
32.185,1,32.185,1,32.185,0,32.185,0
32.186,0,32.186,0,32.186,0,32.186,0
32.187,0,32.187,0,32.187,0,32.187,0
32.188,0,32.188,0,32.188,0,32.188,0
32.189,0,32.189,0,32.189,0,32.189,0
32.19,0,32.19,0,32.19,0,32.19,0
32.191,1,32.191,0,32.191,0,32.191,0
32.192,0,32.192,1,32.192,0,32.192,2
32.193,1,32.193,2,32.193,0,32.193,0
32.194,1,32.194,2,32.194,1,32.194,0
32.195,1,32.195,0,32.195,1,32.195,0
32.196,0,32.196,0,32.196,1,32.196,1
32.197,1,32.197,0,32.197,0,32.197,0
32.198,0,32.198,1,32.198,0,32.198,1
32.199,2,32.199,2,32.199,0,32.199,0
32.2,3,32.2,1,32.2,0,32.2,0
32.201,0,32.201,0,32.201,0,32.201,0
32.202,0,32.202,0,32.202,0,32.202,0
32.203,0,32.203,0,32.203,0,32.203,0
32.204,0,32.204,1,32.204,0,32.204,0
32.205,1,32.205,1,32.205,0,32.205,0
32.206,0,32.206,0,32.206,0,32.206,0
32.207,0,32.207,0,32.207,0,32.207,0
32.208,0,32.208,0,32.208,0,32.208,0
32.209,0,32.209,0,32.209,0,32.209,0
32.21,0,32.21,0,32.21,0,32.21,0
32.211,1,32.211,1,32.211,0,32.211,0
32.212,0,32.212,1,32.212,0,32.212,2
32.213,1,32.213,2,32.213,0,32.213,0
32.214,1,32.214,2,32.214,1,32.214,0
32.215,1,32.215,0,32.215,1,32.215,0
32.216,0,32.216,0,32.216,1,32.216,1
32.217,2,32.217,0,32.217,0,32.217,0
32.218,0,32.218,1,32.218,0,32.218,0
32.219,2,32.219,2,32.219,0,32.219,0
32.22,3,32.22,1,32.22,0,32.22,0
32.221,1,32.221,0,32.221,1,32.221,0
32.222,0,32.222,0,32.222,0,32.222,0
32.223,0,32.223,0,32.223,0,32.223,0
32.224,0,32.224,0,32.224,0,32.224,0
32.225,1,32.225,0,32.225,0,32.225,0
32.226,0,32.226,1,32.226,0,32.226,0
32.227,0,32.227,0,32.227,0,32.227,0
32.228,0,32.228,0,32.228,0,32.228,0
32.229,0,32.229,0,32.229,0,32.229,0
32.23,0,32.23,0,32.23,0,32.23,0
32.231,1,32.231,0,32.231,0,32.231,0
32.232,0,32.232,1,32.232,0,32.232,2
32.233,1,32.233,2,32.233,0,32.233,0
32.234,1,32.234,2,32.234,1,32.234,0
32.235,1,32.235,0,32.235,1,32.235,0
32.236,0,32.236,0,32.236,1,32.236,1
32.237,1,32.237,0,32.237,0,32.237,0
32.238,0,32.238,0,32.238,0,32.238,0
32.239,1,32.239,1,32.239,0,32.239,0
32.24,3,32.24,1,32.24,0,32.24,0
32.241,1,32.241,0,32.241,0,32.241,0
32.242,0,32.242,0,32.242,0,32.242,0
32.243,0,32.243,0,32.243,0,32.243,0
32.244,0,32.244,0,32.244,0,32.244,0
32.245,0,32.245,0,32.245,0,32.245,0
32.246,0,32.246,0,32.246,0,32.246,0
32.247,0,32.247,0,32.247,0,32.247,0
32.248,0,32.248,0,32.248,0,32.248,0
32.249,0,32.249,0,32.249,0,32.249,0
32.25,0,32.25,0,32.25,0,32.25,0
32.251,1,32.251,0,32.251,0,32.251,0
32.252,0,32.252,1,32.252,0,32.252,2
32.253,1,32.253,2,32.253,0,32.253,0
32.254,1,32.254,2,32.254,1,32.254,0
32.255,1,32.255,0,32.255,1,32.255,0
32.256,0,32.256,0,32.256,1,32.256,1
32.257,1,32.257,0,32.257,0,32.257,0
32.258,0,32.258,0,32.258,0,32.258,0
32.259,1,32.259,1,32.259,0,32.259,0
32.26,3,32.26,1,32.26,0,32.26,0
32.261,1,32.261,0,32.261,1,32.261,0
32.262,0,32.262,0,32.262,0,32.262,0
32.263,0,32.263,0,32.263,0,32.263,0
32.264,0,32.264,0,32.264,0,32.264,0
32.265,0,32.265,0,32.265,0,32.265,0
32.266,0,32.266,1,32.266,0,32.266,0
32.267,1,32.267,0,32.267,0,32.267,0
32.268,0,32.268,0,32.268,0,32.268,0
32.269,0,32.269,0,32.269,0,32.269,0
32.27,0,32.27,0,32.27,0,32.27,0
32.271,1,32.271,0,32.271,0,32.271,0
32.272,0,32.272,1,32.272,0,32.272,2
32.273,1,32.273,2,32.273,0,32.273,0
32.274,1,32.274,2,32.274,1,32.274,0
32.275,1,32.275,0,32.275,1,32.275,0
32.276,0,32.276,0,32.276,1,32.276,1
32.277,1,32.277,0,32.277,0,32.277,0
32.278,0,32.278,0,32.278,0,32.278,0
32.279,1,32.279,1,32.279,0,32.279,0
32.28,3,32.28,1,32.28,0,32.28,0
32.281,1,32.281,0,32.281,1,32.281,0
32.282,0,32.282,0,32.282,0,32.282,0
32.283,0,32.283,0,32.283,0,32.283,0
32.284,0,32.284,0,32.284,0,32.284,0
32.285,0,32.285,0,32.285,0,32.285,0
32.286,0,32.286,0,32.286,0,32.286,0
32.287,0,32.287,0,32.287,0,32.287,0
32.288,0,32.288,0,32.288,0,32.288,0
32.289,0,32.289,0,32.289,0,32.289,0
32.29,0,32.29,0,32.29,0,32.29,0
32.291,1,32.291,0,32.291,0,32.291,0
32.292,0,32.292,1,32.292,0,32.292,2
32.293,1,32.293,2,32.293,0,32.293,0
32.294,1,32.294,2,32.294,1,32.294,0
32.295,1,32.295,0,32.295,1,32.295,0
32.296,0,32.296,0,32.296,1,32.296,1
32.297,1,32.297,0,32.297,0,32.297,0
32.298,0,32.298,0,32.298,0,32.298,0
32.299,1,32.299,1,32.299,0,32.299,0
32.3,3,32.3,1,32.3,0,32.3,0
32.301,1,32.301,0,32.301,1,32.301,0
32.302,0,32.302,0,32.302,0,32.302,0
32.303,0,32.303,0,32.303,0,32.303,0
32.304,0,32.304,0,32.304,0,32.304,0
32.305,0,32.305,0,32.305,0,32.305,0
32.306,1,32.306,0,32.306,0,32.306,0
32.307,0,32.307,0,32.307,0,32.307,0
32.308,0,32.308,0,32.308,0,32.308,0
32.309,0,32.309,0,32.309,0,32.309,0
32.31,0,32.31,0,32.31,0,32.31,0
32.311,1,32.311,0,32.311,0,32.311,0
32.312,0,32.312,1,32.312,0,32.312,2
32.313,1,32.313,2,32.313,0,32.313,0
32.314,1,32.314,2,32.314,1,32.314,0
32.315,1,32.315,0,32.315,1,32.315,0
32.316,0,32.316,0,32.316,1,32.316,1
32.317,1,32.317,0,32.317,0,32.317,0
32.318,0,32.318,1,32.318,0,32.318,0
32.319,2,32.319,2,32.319,0,32.319,0
32.32,3,32.32,1,32.32,1,32.32,0
32.321,1,32.321,0,32.321,0,32.321,0
32.322,0,32.322,0,32.322,0,32.322,0
32.323,0,32.323,0,32.323,0,32.323,0
32.324,0,32.324,0,32.324,0,32.324,0
32.325,1,32.325,0,32.325,0,32.325,0
32.326,0,32.326,0,32.326,0,32.326,0
32.327,0,32.327,0,32.327,0,32.327,0
32.328,0,32.328,0,32.328,0,32.328,0
32.329,0,32.329,0,32.329,0,32.329,0
32.33,0,32.33,0,32.33,0,32.33,0
32.331,1,32.331,0,32.331,0,32.331,0
32.332,0,32.332,1,32.332,0,32.332,2
32.333,1,32.333,2,32.333,0,32.333,0
32.334,1,32.334,2,32.334,1,32.334,0
32.335,1,32.335,0,32.335,1,32.335,0
32.336,0,32.336,0,32.336,1,32.336,1
32.337,1,32.337,0,32.337,0,32.337,0
32.338,0,32.338,0,32.338,0,32.338,0
32.339,1,32.339,1,32.339,0,32.339,0
32.34,3,32.34,1,32.34,0,32.34,0
32.341,1,32.341,0,32.341,0,32.341,0
32.342,0,32.342,0,32.342,0,32.342,0
32.343,0,32.343,0,32.343,0,32.343,0
32.344,0,32.344,0,32.344,0,32.344,0
32.345,0,32.345,0,32.345,0,32.345,0
32.346,0,32.346,0,32.346,0,32.346,0
32.347,0,32.347,0,32.347,0,32.347,0
32.348,0,32.348,0,32.348,0,32.348,0
32.349,0,32.349,0,32.349,0,32.349,0
32.35,0,32.35,0,32.35,0,32.35,0
32.351,1,32.351,0,32.351,0,32.351,0
32.352,0,32.352,1,32.352,0,32.352,2
32.353,1,32.353,2,32.353,0,32.353,0
32.354,1,32.354,2,32.354,1,32.354,0
32.355,1,32.355,0,32.355,1,32.355,0
32.356,0,32.356,0,32.356,1,32.356,1
32.357,1,32.357,0,32.357,0,32.357,0
32.358,0,32.358,0,32.358,0,32.358,0
32.359,1,32.359,1,32.359,0,32.359,0
32.36,3,32.36,1,32.36,0,32.36,0
32.361,0,32.361,0,32.361,1,32.361,0
32.362,0,32.362,0,32.362,0,32.362,0
32.363,0,32.363,0,32.363,0,32.363,0
32.364,0,32.364,0,32.364,0,32.364,0
32.365,0,32.365,0,32.365,0,32.365,0
32.366,0,32.366,0,32.366,0,32.366,0
32.367,0,32.367,0,32.367,0,32.367,0
32.368,0,32.368,0,32.368,0,32.368,0
32.369,0,32.369,0,32.369,0,32.369,0
32.37,0,32.37,0,32.37,0,32.37,0
32.371,1,32.371,0,32.371,0,32.371,0
32.372,0,32.372,1,32.372,0,32.372,2
32.373,1,32.373,2,32.373,0,32.373,0
32.374,1,32.374,2,32.374,1,32.374,0
32.375,1,32.375,0,32.375,1,32.375,0
32.376,0,32.376,0,32.376,1,32.376,1
32.377,1,32.377,0,32.377,0,32.377,0
32.378,0,32.378,0,32.378,0,32.378,0
32.379,1,32.379,1,32.379,0,32.379,0
32.38,3,32.38,1,32.38,0,32.38,0
32.381,1,32.381,0,32.381,1,32.381,0
32.382,0,32.382,0,32.382,0,32.382,0
32.383,0,32.383,0,32.383,0,32.383,0
32.384,0,32.384,0,32.384,0,32.384,0
32.385,0,32.385,0,32.385,0,32.385,0
32.386,0,32.386,0,32.386,0,32.386,0
32.387,0,32.387,0,32.387,0,32.387,0
32.388,0,32.388,0,32.388,0,32.388,0
32.389,0,32.389,0,32.389,0,32.389,0
32.39,0,32.39,0,32.39,0,32.39,0
32.391,1,32.391,0,32.391,0,32.391,0
32.392,0,32.392,1,32.392,0,32.392,2
32.393,1,32.393,2,32.393,0,32.393,0
32.394,1,32.394,2,32.394,1,32.394,0
32.395,1,32.395,0,32.395,1,32.395,0
32.396,0,32.396,0,32.396,1,32.396,1
32.397,1,32.397,0,32.397,0,32.397,0
32.398,0,32.398,0,32.398,0,32.398,0
32.399,1,32.399,1,32.399,0,32.399,0
32.4,3,32.4,1,32.4,0,32.4,0
32.401,1,32.401,0,32.401,1,32.401,0
32.402,0,32.402,0,32.402,0,32.402,0
32.403,0,32.403,0,32.403,0,32.403,0
32.404,0,32.404,0,32.404,0,32.404,0
32.405,0,32.405,0,32.405,0,32.405,0
32.406,1,32.406,0,32.406,0,32.406,0
32.407,0,32.407,0,32.407,0,32.407,0
32.408,0,32.408,0,32.408,0,32.408,0
32.409,0,32.409,0,32.409,0,32.409,0
32.41,0,32.41,0,32.41,0,32.41,0
32.411,1,32.411,0,32.411,0,32.411,0
